engine_id,cycle,sensor2,sensor3,sensor4,sensor6,sensor7,sensor8,sensor9,sensor11,sensor12,sensor13,sensor14,sensor15,sensor17,sensor20,sensor21
1,20,643.040,1581.110,1405.230,21.610,554.810,2388.050,9045.900,47.220,522.070,2388.020,8129.710,8.421,392.000,39.030,23.422
1,21,642.370,1586.070,1398.130,21.610,554.080,2388.110,9048.150,47.150,522.420,2388.080,8134.020,8.405,392.000,39.090,23.310
1,22,642.770,1592.930,1400.570,21.610,553.630,2388.040,9061.210,47.240,522.000,2388.030,8130.410,8.403,392.000,38.920,23.379
1,23,642.140,1588.190,1394.750,21.610,553.980,2388.050,9046.280,47.250,521.520,2388.050,8127.900,8.424,392.000,38.940,23.456
1,24,642.380,1590.830,1398.810,21.610,553.490,2388.120,9043.760,47.440,522.130,2388.030,8133.880,8.389,392.000,39.000,23.370
1,25,642.770,1594.100,1399.390,21.610,554.000,2388.020,9054.160,47.360,522.560,2388.020,8136.610,8.392,393.000,38.950,23.429
1,26,642.160,1589.080,1396.070,21.610,554.110,2388.070,9047.110,47.260,522.280,2388.060,8131.150,8.426,394.000,38.860,23.415
1,27,642.440,1590.470,1401.840,21.610,554.070,2388.020,9047.960,47.370,522.000,2388.130,8134.600,8.405,393.000,38.990,23.447
1,28,642.350,1582.840,1399.130,21.610,554.680,2388.120,9049.840,47.410,522.570,2388.080,8127.300,8.432,390.000,39.010,23.284
1,29,641.910,1584.830,1400.990,21.610,554.250,2388.050,9050.470,47.240,522.410,2388.060,8133.060,8.419,393.000,38.930,23.360
1,30,642.200,1593.520,1396.080,21.610,554.370,2388.070,9045.620,47.400,522.190,2388.000,8137.860,8.407,390.000,39.050,23.411
1,31,642.020,1584.180,1396.900,21.610,554.130,2388.080,9058.780,47.410,521.950,2388.060,8125.280,8.410,392.000,38.940,23.335
1,32,642.330,1591.380,1400.360,21.610,554.960,2388.040,9050.970,47.250,521.920,2388.070,8129.700,8.415,392.000,39.020,23.500
1,33,642.710,1588.400,1402.430,21.610,554.610,2388.040,9047.130,47.280,521.910,2388.080,8134.420,8.375,392.000,38.830,23.351
1,34,642.540,1581.470,1400.480,21.610,554.300,2388.030,9046.460,47.470,521.700,2388.090,8126.610,8.435,392.000,38.810,23.309
1,35,642.440,1590.000,1403.000,21.610,554.300,2388.040,9045.760,47.310,521.750,2388.010,8140.170,8.443,391.000,39.130,23.416
1,36,642.540,1581.720,1405.540,21.610,554.530,2388.010,9044.560,47.250,522.320,2388.040,8132.480,8.425,392.000,38.860,23.431
1,37,641.990,1579.110,1398.900,21.610,554.630,2388.070,9055.440,47.290,522.290,2388.040,8131.950,8.414,392.000,38.990,23.435
1,38,641.930,1589.600,1399.500,21.610,554.700,2388.080,9055.270,47.270,522.420,2388.080,8136.610,8.416,392.000,39.060,23.477
1,39,642.010,1583.210,1400.690,21.610,553.970,2388.020,9051.760,47.120,522.230,2388.050,8131.810,8.414,392.000,38.700,23.370
1,40,642.240,1582.080,1401.770,21.610,554.570,2388.060,9052.980,47.330,521.840,2388.010,8131.030,8.378,392.000,38.840,23.377
1,41,642.400,1591.310,1403.210,21.610,553.720,2388.060,9048.990,47.090,522.070,2388.030,8138.080,8.437,392.000,39.130,23.444
1,42,642.120,1584.660,1401.380,21.610,553.940,2388.080,9057.060,47.490,522.230,2388.050,8130.880,8.414,392.000,39.000,23.375
1,43,642.240,1591.520,1406.050,21.610,553.680,2388.030,9057.880,47.320,522.740,2388.090,8127.220,8.407,392.000,38.990,23.315
1,44,641.930,1586.940,1401.200,21.610,554.150,2388.040,9046.870,47.450,522.300,2388.000,8131.450,8.420,392.000,39.060,23.475
1,45,642.530,1582.420,1399.160,21.610,553.830,2388.080,9060.320,47.450,521.730,2388.050,8128.310,8.410,393.000,38.790,23.394
1,46,642.430,1588.290,1401.270,21.610,553.760,2388.060,9060.380,47.200,522.020,2388.080,8128.710,8.398,393.000,38.930,23.375
1,47,642.210,1580.320,1402.890,21.610,554.380,2388.060,9052.040,47.220,521.840,2388.050,8126.210,8.397,392.000,38.990,23.487
1,48,641.890,1588.510,1399.160,21.610,554.020,2388.080,9045.260,47.400,521.910,2388.060,8129.990,8.438,392.000,38.940,23.365
1,49,642.230,1584.350,1397.760,21.610,554.230,2388.070,9050.640,47.220,521.370,2388.040,8135.480,8.415,392.000,39.060,23.450
1,50,642.770,1588.490,1403.620,21.610,553.920,2388.060,9048.600,47.470,522.330,2388.090,8127.300,8.412,392.000,38.850,23.411
1,51,642.810,1585.540,1400.420,21.610,553.730,2388.020,9047.090,47.120,521.910,2388.050,8134.360,8.450,393.000,38.940,23.365
1,52,642.760,1583.770,1395.570,21.610,553.040,2388.040,9056.010,47.070,522.100,2388.070,8132.820,8.454,391.000,39.000,23.339
1,53,642.610,1579.820,1402.260,21.610,554.160,2388.050,9051.150,47.290,521.960,2388.060,8134.380,8.442,392.000,38.900,23.378
1,54,642.420,1592.590,1401.200,21.610,553.950,2388.040,9056.290,47.380,522.440,2388.060,8129.950,8.419,392.000,38.960,23.235
1,55,642.410,1584.950,1401.580,21.610,554.450,2388.040,9048.940,47.400,522.110,2388.020,8134.100,8.407,392.000,39.060,23.357
1,56,642.490,1586.330,1400.760,21.610,553.980,2388.010,9042.420,47.260,522.480,2388.040,8135.400,8.402,391.000,38.680,23.341
1,57,642.130,1583.670,1402.790,21.610,553.420,2388.050,9050.800,47.290,521.620,2388.080,8135.480,8.426,392.000,38.840,23.357
1,58,641.900,1590.460,1397.990,21.610,554.140,2388.090,9050.330,47.260,522.210,2388.040,8132.080,8.432,390.000,38.930,23.289
1,59,642.330,1596.720,1403.510,21.610,554.620,2388.070,9050.060,47.260,521.320,2388.020,8128.810,8.448,392.000,38.920,23.444
1,60,642.340,1582.750,1403.070,21.610,554.000,2388.060,9051.690,47.410,522.490,2388.030,8132.890,8.388,393.000,38.890,23.387
1,61,642.100,1583.550,1405.520,21.610,554.090,2388.110,9050.580,47.310,522.340,2388.090,8131.660,8.426,391.000,38.890,23.364
1,62,642.170,1581.590,1399.540,21.610,554.450,2388.100,9053.620,47.280,522.190,2388.100,8132.280,8.407,391.000,39.030,23.271
1,63,642.600,1592.140,1395.380,21.610,553.480,2388.060,9049.960,47.510,521.560,2388.010,8130.730,8.436,394.000,38.770,23.344
1,64,642.230,1584.510,1400.110,21.610,553.880,2388.100,9043.670,47.450,521.820,2388.040,8128.150,8.407,391.000,38.930,23.384
1,65,642.280,1584.720,1403.240,21.610,553.970,2388.030,9044.010,47.560,521.540,2388.130,8132.940,8.441,392.000,38.900,23.375
1,66,642.500,1588.500,1399.520,21.610,554.000,2388.060,9059.450,47.140,521.760,2388.050,8128.320,8.391,391.000,38.950,23.315
1,67,642.330,1590.220,1403.020,21.610,554.310,2388.100,9050.240,47.390,522.640,2388.080,8134.070,8.393,393.000,38.970,23.291
1,68,642.510,1582.060,1404.420,21.610,554.040,2388.100,9051.780,47.360,521.720,2388.070,8132.390,8.424,392.000,38.950,23.317
1,69,642.440,1590.700,1401.240,21.610,554.650,2388.070,9050.590,47.410,522.220,2388.100,8129.130,8.429,392.000,39.000,23.374
1,70,642.220,1584.020,1402.780,21.610,554.010,2388.110,9053.430,47.410,521.930,2388.120,8130.360,8.428,392.000,38.860,23.451
1,71,642.210,1580.410,1403.090,21.610,554.060,2388.030,9046.090,47.300,521.720,2388.090,8134.280,8.423,391.000,38.800,23.388
1,72,642.410,1579.250,1406.810,21.610,553.760,2388.070,9054.420,47.270,521.970,2388.090,8133.950,8.395,391.000,38.840,23.309
1,73,642.290,1592.040,1397.930,21.610,553.880,2388.030,9049.640,47.290,522.040,2388.100,8129.850,8.404,391.000,39.030,23.398
1,74,642.960,1584.650,1401.480,21.610,554.030,2388.070,9045.850,47.580,522.250,2387.970,8132.670,8.414,392.000,38.800,23.382
1,75,641.960,1582.320,1394.820,21.610,553.600,2388.070,9042.320,47.220,521.770,2388.110,8130.130,8.462,392.000,38.890,23.352
1,76,642.210,1589.210,1398.940,21.610,553.660,2388.020,9056.550,47.440,521.580,2388.030,8136.440,8.400,390.000,39.020,23.443
1,77,642.550,1586.300,1400.970,21.610,554.610,2388.060,9046.440,47.410,521.600,2388.080,8135.250,8.453,393.000,38.990,23.275
1,78,641.990,1580.760,1404.100,21.610,553.470,2388.080,9042.370,47.400,522.280,2388.160,8133.910,8.379,392.000,38.880,23.349
1,79,642.120,1582.460,1403.930,21.610,553.770,2388.040,9047.860,47.350,521.850,2388.130,8135.400,8.413,394.000,38.900,23.312
1,80,641.940,1591.960,1393.580,21.610,553.910,2388.060,9043.670,47.640,521.520,2388.100,8134.660,8.424,392.000,38.890,23.361
1,81,642.730,1584.820,1402.040,21.610,553.880,2388.100,9045.310,47.430,521.660,2388.050,8128.870,8.425,392.000,38.770,23.373
1,82,642.040,1589.070,1399.170,21.610,554.180,2388.100,9048.220,47.250,521.950,2388.030,8134.040,8.399,393.000,38.890,23.271
1,83,642.660,1588.050,1406.380,21.610,553.490,2388.080,9049.080,47.220,521.930,2388.050,8131.320,8.413,391.000,38.800,23.327
1,84,642.640,1585.520,1406.600,21.610,553.910,2388.050,9050.470,47.380,521.540,2388.060,8131.540,8.414,392.000,38.730,23.265
1,85,642.280,1590.120,1405.960,21.610,554.400,2388.010,9056.080,47.360,522.300,2388.050,8135.310,8.450,392.000,39.010,23.284
1,86,641.840,1588.800,1403.560,21.610,553.690,2388.100,9047.260,47.380,521.820,2388.090,8130.060,8.417,394.000,38.940,23.395
1,87,642.330,1586.690,1413.100,21.610,554.100,2388.140,9050.520,47.340,521.430,2388.060,8130.410,8.433,391.000,38.880,23.340
1,88,641.960,1581.290,1406.090,21.610,554.480,2388.070,9046.730,47.460,522.200,2388.040,8131.470,8.459,392.000,38.900,23.309
1,89,642.240,1584.730,1402.220,21.610,553.910,2388.050,9055.240,47.460,521.550,2388.080,8135.150,8.449,392.000,38.950,23.329
1,90,642.670,1584.380,1412.930,21.610,552.880,2388.100,9051.270,47.320,521.490,2388.090,8129.720,8.396,391.000,38.980,23.471
1,91,641.980,1584.840,1404.760,21.610,553.540,2388.040,9050.720,47.320,521.550,2388.100,8134.400,8.395,394.000,39.110,23.384
1,92,642.890,1590.030,1400.770,21.610,553.810,2388.140,9048.360,47.450,521.910,2388.050,8131.390,8.398,392.000,38.990,23.352
1,93,642.850,1593.740,1408.480,21.610,554.070,2388.070,9047.870,47.460,521.430,2388.080,8133.150,8.421,392.000,38.860,23.248
1,94,642.450,1583.270,1404.940,21.610,553.860,2388.150,9045.830,47.480,521.610,2388.070,8132.400,8.452,393.000,38.850,23.376
1,95,642.860,1577.600,1410.100,21.610,553.910,2388.020,9048.850,47.380,521.920,2388.020,8131.630,8.458,394.000,38.760,23.327
1,96,642.190,1584.070,1395.160,21.610,553.340,2388.070,9048.710,47.390,521.660,2388.060,8130.690,8.431,392.000,38.880,23.326
1,97,642.070,1595.770,1407.810,21.610,553.400,2388.090,9046.100,47.460,521.670,2388.060,8128.740,8.411,392.000,39.010,23.296
1,98,642.000,1591.110,1404.560,21.610,552.750,2388.060,9045.490,47.370,522.310,2388.060,8127.890,8.401,391.000,38.960,23.255
1,99,642.460,1592.730,1406.130,21.610,553.760,2388.080,9045.140,47.400,521.420,2388.100,8131.770,8.448,393.000,38.820,23.232
1,100,642.220,1589.630,1411.350,21.610,554.220,2388.070,9045.720,47.640,521.550,2388.080,8132.490,8.424,392.000,38.930,23.409
1,101,642.750,1584.180,1403.410,21.610,553.370,2388.060,9052.300,47.620,521.890,2388.080,8125.970,8.435,391.000,38.750,23.415
1,102,642.850,1589.110,1403.420,21.610,553.420,2388.150,9051.360,47.490,521.380,2388.050,8130.400,8.456,393.000,38.940,23.365
1,103,642.210,1581.270,1403.210,21.610,553.640,2388.090,9053.280,47.570,521.410,2388.100,8124.400,8.426,392.000,38.690,23.429
1,104,642.290,1590.630,1406.250,21.610,553.660,2388.080,9044.730,47.340,522.380,2388.090,8131.890,8.402,392.000,38.960,23.339
1,105,642.010,1588.280,1403.220,21.610,553.110,2388.090,9048.360,47.310,521.810,2388.080,8134.010,8.433,393.000,38.770,23.386
1,106,642.680,1589.050,1404.450,21.610,553.600,2388.080,9049.820,47.440,521.510,2388.090,8126.380,8.466,392.000,39.080,23.415
1,107,642.530,1595.130,1407.730,21.610,553.740,2388.070,9048.680,47.350,521.750,2388.070,8132.400,8.424,396.000,39.010,23.409
1,108,643.490,1585.910,1399.470,21.610,554.430,2388.140,9047.030,47.610,521.520,2388.030,8131.520,8.413,393.000,38.750,23.303
1,109,642.490,1586.450,1409.100,21.610,553.590,2388.100,9051.130,47.580,521.620,2388.110,8130.970,8.376,394.000,39.050,23.356
1,110,642.550,1590.010,1401.270,21.610,554.080,2388.130,9051.400,47.550,522.010,2388.120,8127.160,8.464,393.000,39.060,23.295
1,111,642.670,1584.380,1408.110,21.610,553.490,2388.120,9051.640,47.620,521.530,2388.140,8132.400,8.445,392.000,38.920,23.214
1,112,642.660,1586.460,1401.840,21.610,553.190,2388.060,9051.280,47.220,521.900,2388.080,8131.520,8.445,394.000,38.840,23.321
1,113,642.680,1590.850,1406.590,21.610,552.910,2388.100,9053.150,47.460,521.750,2388.160,8129.320,8.458,393.000,38.900,23.310
1,114,642.310,1588.420,1402.970,21.610,554.290,2388.070,9046.580,47.580,521.680,2388.150,8132.360,8.429,394.000,38.890,23.375
1,115,642.660,1594.840,1406.600,21.610,554.130,2388.110,9050.370,47.430,521.360,2388.120,8127.600,8.435,393.000,38.930,23.302
1,116,642.640,1580.310,1401.990,21.610,554.400,2388.080,9049.710,47.430,521.600,2388.050,8134.460,8.406,394.000,39.030,23.351
1,117,642.380,1589.770,1409.350,21.610,554.590,2388.100,9049.610,47.520,521.220,2388.100,8126.120,8.426,391.000,38.730,23.177
1,118,642.340,1585.670,1409.340,21.610,554.250,2388.100,9051.120,47.550,521.310,2388.120,8135.210,8.420,393.000,38.880,23.297
1,119,642.670,1596.800,1404.460,21.610,553.770,2388.100,9045.890,47.550,521.460,2388.090,8123.850,8.419,394.000,39.010,23.319
1,120,642.810,1593.780,1407.680,21.610,553.660,2388.100,9048.720,47.600,521.340,2388.100,8125.570,8.403,393.000,38.810,23.306
1,121,642.630,1593.560,1411.900,21.610,553.700,2388.070,9040.970,47.440,521.300,2388.040,8133.940,8.426,394.000,38.630,23.422
1,122,643.300,1593.680,1413.970,21.610,553.430,2388.150,9042.390,47.600,520.920,2388.120,8131.810,8.426,393.000,38.860,23.279
1,123,643.390,1586.660,1403.040,21.610,552.640,2388.120,9049.440,47.410,521.600,2388.170,8129.720,8.440,392.000,38.900,23.292
1,124,642.480,1587.140,1402.280,21.610,552.260,2388.130,9053.030,47.550,521.400,2388.130,8133.820,8.442,393.000,38.800,23.234
1,125,642.960,1585.470,1406.420,21.610,552.440,2388.130,9046.160,47.630,521.570,2388.110,8126.330,8.408,394.000,38.680,23.304
1,126,642.490,1582.640,1418.500,21.610,553.720,2388.050,9049.110,47.490,521.350,2388.080,8130.940,8.438,392.000,38.850,23.229
1,127,642.990,1586.900,1399.490,21.610,553.810,2388.090,9047.900,47.630,521.340,2388.100,8133.000,8.463,393.000,38.910,23.277
1,128,642.470,1593.870,1407.060,21.610,552.740,2388.130,9056.590,47.620,521.960,2388.160,8132.080,8.441,393.000,38.850,23.264
1,129,642.410,1591.330,1408.420,21.610,552.420,2388.090,9046.080,47.610,522.020,2388.130,8127.330,8.468,393.000,38.840,23.266
1,130,642.700,1585.900,1412.250,21.610,552.660,2388.130,9042.970,47.460,521.490,2388.070,8125.290,8.394,394.000,38.710,23.346
1,131,643.010,1585.780,1413.250,21.610,553.700,2388.110,9045.100,47.700,521.450,2388.130,8126.380,8.433,391.000,38.730,23.344
1,132,643.190,1596.060,1405.760,21.610,553.160,2388.170,9044.040,47.560,521.640,2388.160,8128.920,8.423,393.000,38.530,23.319
1,133,642.450,1592.640,1410.110,21.610,553.820,2388.110,9050.950,47.570,521.230,2388.090,8130.930,8.460,394.000,38.950,23.252
1,134,642.850,1583.620,1402.670,21.610,553.200,2388.110,9046.160,47.750,521.520,2388.130,8131.300,8.429,393.000,38.680,23.283
1,135,642.450,1585.550,1406.830,21.610,553.090,2388.140,9050.650,47.340,520.990,2388.120,8129.340,8.424,392.000,38.850,23.274
1,136,642.840,1584.720,1404.390,21.610,554.180,2388.060,9040.890,47.430,521.540,2388.110,8130.430,8.447,393.000,38.760,23.170
1,137,642.430,1594.690,1405.150,21.610,553.390,2388.140,9040.550,47.890,521.630,2388.120,8128.810,8.449,394.000,38.870,23.259
1,138,642.790,1589.820,1413.340,21.610,552.910,2388.110,9049.640,47.400,521.570,2388.180,8129.670,8.421,392.000,39.000,23.366
1,139,643.110,1592.280,1412.600,21.610,553.250,2388.060,9044.810,47.670,521.030,2388.150,8124.970,8.462,394.000,38.880,23.342
1,140,643.050,1590.890,1408.360,21.610,552.150,2388.170,9055.850,47.510,521.270,2388.050,8130.270,8.440,393.000,38.820,23.370
1,141,642.390,1590.020,1415.250,21.610,553.450,2388.130,9050.860,47.490,521.060,2388.160,8120.930,8.464,394.000,39.020,23.238
1,142,642.510,1595.290,1413.420,21.610,553.110,2388.100,9046.610,47.590,520.440,2388.180,8124.870,8.429,392.000,38.710,23.282
1,143,642.770,1593.100,1404.210,21.610,553.620,2388.130,9050.630,47.520,520.980,2388.110,8126.810,8.442,393.000,38.790,23.231
1,144,643.090,1591.890,1405.760,21.610,553.770,2388.170,9049.330,47.570,521.110,2388.170,8125.470,8.460,393.000,38.750,23.225
1,145,642.950,1594.920,1409.630,21.610,553.030,2388.130,9046.920,47.540,521.130,2388.150,8130.910,8.464,395.000,38.670,23.149
1,146,642.720,1586.750,1408.820,21.610,552.600,2388.120,9045.990,47.630,521.130,2388.120,8129.190,8.431,392.000,38.690,23.323
1,147,642.250,1594.850,1409.960,21.610,553.090,2388.140,9041.240,47.800,520.920,2388.120,8126.130,8.443,393.000,38.770,23.268
1,148,643.020,1590.030,1411.890,21.610,552.840,2388.160,9040.930,47.490,521.080,2388.150,8124.480,8.428,392.000,38.770,23.250
1,149,642.900,1592.780,1410.700,21.610,552.540,2388.170,9057.240,47.830,521.130,2388.150,8124.340,8.473,394.000,38.770,23.257
1,150,643.060,1589.010,1409.220,21.610,553.570,2388.120,9044.760,47.600,520.500,2388.210,8122.990,8.473,394.000,38.680,23.208
1,151,642.820,1592.390,1411.940,21.610,552.410,2388.140,9048.120,47.580,520.940,2388.220,8127.210,8.461,394.000,38.560,23.228
1,152,642.670,1598.600,1420.830,21.610,552.620,2388.180,9043.900,47.720,520.390,2388.190,8119.000,8.457,395.000,38.770,23.237
1,153,642.990,1589.170,1414.560,21.610,552.680,2388.140,9049.430,47.740,520.690,2388.170,8124.140,8.444,393.000,38.780,23.172
1,154,642.810,1597.030,1416.070,21.610,552.570,2388.140,9049.080,47.730,520.720,2388.180,8129.240,8.479,394.000,38.820,23.237
1,155,642.830,1590.400,1414.890,21.610,552.890,2388.160,9049.560,47.610,521.230,2388.170,8120.410,8.473,394.000,38.680,23.275
1,156,643.040,1585.610,1421.230,21.610,553.240,2388.260,9044.210,47.580,520.750,2388.160,8128.480,8.443,395.000,38.770,23.279
1,157,642.200,1598.040,1412.470,21.610,552.320,2388.140,9053.120,47.720,520.940,2388.170,8125.070,8.433,392.000,38.670,23.235
1,158,642.880,1596.820,1410.090,21.610,553.190,2388.200,9049.220,47.680,520.880,2388.220,8126.330,8.437,394.000,38.750,23.289
1,159,642.890,1589.540,1420.370,21.610,552.180,2388.130,9048.060,47.760,520.650,2388.230,8127.610,8.440,394.000,38.760,23.253
1,160,643.450,1590.650,1418.080,21.610,551.870,2388.210,9045.420,47.840,520.470,2388.220,8122.680,8.443,396.000,38.520,23.282
1,161,643.000,1594.200,1417.310,21.610,552.800,2388.180,9048.060,47.770,520.470,2388.180,8126.970,8.441,394.000,38.660,23.296
1,162,643.150,1592.220,1423.480,21.610,552.680,2388.150,9044.450,47.790,520.440,2388.200,8123.770,8.502,394.000,38.780,23.154
1,163,642.850,1600.540,1421.090,21.610,552.410,2388.200,9049.240,47.890,520.300,2388.200,8124.060,8.513,393.000,38.650,23.142
1,164,643.170,1598.960,1416.760,21.610,551.900,2388.170,9048.920,47.700,520.630,2388.280,8124.630,8.480,394.000,38.620,23.176
1,165,642.760,1597.030,1408.090,21.610,552.790,2388.190,9039.090,47.890,520.690,2388.240,8126.530,8.492,393.000,38.590,23.213
1,166,643.340,1596.720,1422.370,21.610,552.130,2388.220,9043.110,47.860,520.020,2388.220,8119.140,8.466,395.000,38.620,23.145
1,167,643.020,1593.830,1414.720,21.610,552.570,2388.230,9042.050,47.850,520.490,2388.180,8122.410,8.463,394.000,38.770,23.301
1,168,642.680,1591.190,1415.700,21.610,552.090,2388.220,9036.350,47.840,520.780,2388.190,8124.440,8.493,393.000,38.760,23.277
1,169,643.200,1590.160,1418.050,21.610,552.710,2388.250,9055.180,47.880,520.440,2388.180,8125.300,8.477,394.000,38.580,23.187
1,170,642.920,1592.710,1417.410,21.610,552.020,2388.210,9044.030,47.860,520.230,2388.260,8121.760,8.490,395.000,38.660,23.162
1,171,643.260,1592.060,1414.990,21.610,552.710,2388.200,9042.120,48.030,519.850,2388.220,8124.870,8.492,395.000,38.680,23.244
1,172,643.330,1591.710,1413.730,21.610,551.690,2388.240,9039.100,48.070,520.540,2388.260,8120.080,8.460,393.000,38.650,23.159
1,173,642.970,1590.690,1425.270,21.610,552.130,2388.220,9048.820,47.900,520.110,2388.230,8121.640,8.509,395.000,38.590,23.179
1,174,642.640,1599.810,1422.580,21.610,552.320,2388.220,9041.250,48.000,520.220,2388.210,8119.170,8.448,393.000,38.570,23.036
1,175,643.610,1603.290,1422.520,21.610,551.640,2388.230,9042.660,47.860,520.380,2388.220,8125.760,8.489,394.000,38.580,23.157
1,176,642.860,1592.270,1422.730,21.610,551.910,2388.230,9045.740,47.840,519.800,2388.200,8123.800,8.485,394.000,38.720,23.249
1,177,643.790,1602.020,1423.990,21.610,551.930,2388.250,9046.200,48.030,520.240,2388.230,8120.110,8.478,396.000,38.630,23.167
1,178,643.380,1605.330,1424.650,21.610,552.180,2388.230,9046.170,48.000,520.200,2388.200,8116.560,8.477,395.000,38.650,23.177
1,179,642.860,1592.560,1429.450,21.610,551.570,2388.260,9044.230,48.020,520.380,2388.180,8116.840,8.495,395.000,38.770,23.189
1,180,643.580,1599.870,1417.140,21.610,552.910,2388.210,9039.330,47.850,519.840,2388.280,8122.570,8.474,395.000,38.860,23.007
1,181,643.440,1596.710,1420.640,21.610,551.830,2388.230,9038.290,48.100,520.430,2388.230,8114.790,8.472,397.000,38.340,23.165
1,182,644.210,1602.080,1426.620,21.610,551.900,2388.260,9041.230,47.980,520.460,2388.250,8119.670,8.516,397.000,38.430,23.179
1,183,643.240,1597.230,1419.030,21.610,551.380,2388.210,9040.940,48.030,520.050,2388.230,8117.800,8.504,396.000,38.560,23.130
1,184,644.070,1605.440,1432.520,21.610,551.000,2388.240,9047.910,48.070,519.770,2388.280,8115.610,8.513,395.000,38.430,23.015
1,185,643.800,1603.460,1424.400,21.610,551.640,2388.290,9043.710,48.150,519.820,2388.270,8113.690,8.498,395.000,38.510,23.070
1,186,643.510,1595.160,1426.300,21.610,552.570,2388.210,9051.370,48.120,520.080,2388.250,8123.450,8.523,397.000,38.470,23.056
1,187,643.320,1592.100,1427.270,21.610,551.080,2388.290,9037.710,48.230,519.530,2388.280,8115.670,8.522,396.000,38.420,23.082
1,188,643.750,1602.380,1422.780,21.610,551.940,2388.310,9037.910,48.000,519.790,2388.230,8117.690,8.521,396.000,38.510,22.959
1,189,644.180,1596.170,1428.010,21.610,550.700,2388.270,9044.550,48.080,519.580,2388.330,8117.510,8.518,395.000,38.480,23.113
1,190,643.640,1599.220,1425.950,21.610,551.290,2388.290,9040.580,48.330,520.040,2388.350,8112.580,8.522,398.000,38.490,23.068
1,191,643.340,1602.360,1425.770,21.610,550.920,2388.280,9042.760,48.150,519.570,2388.300,8114.610,8.517,394.000,38.450,23.130
1,192,643.540,1601.410,1427.200,21.610,551.250,2388.320,9033.220,48.250,520.080,2388.320,8110.930,8.511,396.000,38.480,22.965
2,1,641.890,1583.840,1391.280,21.600,554.530,2388.010,9054.720,46.930,522.330,2388.060,8137.720,8.391,391.000,38.940,23.459
2,2,641.820,1587.050,1393.130,21.610,554.770,2387.980,9051.310,47.240,522.700,2387.980,8131.090,8.417,392.000,39.060,23.409
2,3,641.550,1588.320,1398.960,21.600,555.140,2388.040,9054.240,47.220,522.580,2387.990,8140.580,8.380,391.000,39.110,23.425
2,4,641.680,1584.150,1396.080,21.610,554.250,2387.980,9058.010,47.100,522.490,2387.930,8140.440,8.402,391.000,39.130,23.503
2,5,641.730,1579.030,1402.520,21.600,555.120,2388.030,9058.150,47.250,522.270,2387.940,8136.670,8.387,390.000,39.180,23.423
